cat_pred,cat_true,val_pred,val_true,aro_pred,aro_true
7,7,0.101010896,-0.0023333333,0.3403666,0.0
7,7,0.07487126,-0.0023333333,0.48803067,0.027666667
7,7,0.26882517,-0.0023333333,0.40698144,0.062
7,0,0.102787346,0.064666666,0.27057153,0.035666667
7,0,0.054892942,0.041,0.1967426,0.017333332
7,0,-0.06720467,0.031,0.20567062,-0.059666667
7,0,-0.010069951,0.031,0.24242832,-0.101
7,0,-0.102476716,0.031,0.14038467,-0.09833334
7,0,0.038758107,0.031,0.21017443,-0.036333334
7,0,0.055641357,0.044333335,0.3243051,0.003
7,0,0.14415666,0.14833333,0.2981186,0.083333336
7,0,0.13100748,0.14833333,0.32286477,0.060666665
7,0,0.01964178,0.11133333,0.29079953,0.021333333
7,0,0.23939493,0.111666664,0.36753574,0.044666667
7,0,0.1932534,0.16433333,0.3836917,0.052333333
7,4,0.040684823,0.16133334,0.42057925,0.095
4,4,0.053502403,0.15633333,0.51332814,0.14633334
4,4,0.27405006,0.182,0.42972958,0.16666667
7,4,0.029648952,0.19033334,0.5449371,0.21133333
4,0,0.2000691,0.156,0.36042202,0.10666667
4,0,0.28149474,0.16133334,0.5305993,0.13366666
4,4,0.22909847,0.44833332,0.40559196,0.437
4,4,0.30115312,0.451,0.43561503,0.46266666
7,4,0.18374175,0.44566667,0.4518007,0.448
4,4,0.40845257,0.38766667,0.62988216,0.42966667
4,4,0.27780667,0.34566668,0.511727,0.489
4,4,0.16953342,0.356,0.55952424,0.52966666
4,4,0.27201426,0.36133334,0.6951806,0.54033333
4,4,0.22791359,0.414,0.6289559,0.57166666
4,4,0.05441756,0.45366666,0.38702574,0.58966666
4,4,-0.0040285215,0.5323333,0.33866698,0.60333335
4,4,0.25855896,0.5506667,0.46400753,0.63233334
7,4,0.13129634,0.548,0.5748928,0.61266667
4,4,0.24381517,0.548,0.4388056,0.552
4,4,0.18088284,0.572,0.6615912,0.53966665
4,4,0.19180839,0.585,0.62165415,0.5836667
4,4,0.4505241,0.63766664,0.5946353,0.6533333
4,4,0.39873376,0.6533333,0.5188435,0.66933334
7,4,-0.07959784,0.7266667,0.38703606,0.66933334
7,4,-0.09198713,0.766,0.39227587,0.69166666
7,4,-0.12959015,0.774,0.40782872,0.6956667
7,4,-0.058925368,0.72433335,0.47284266,0.6703333
