cat_pred,cat_true,val_pred,val_true,aro_pred,aro_true
7,7,0.13528706,-0.0023333333,0.21749136,0.0
7,7,0.19334644,-0.0023333333,0.39669317,0.027666667
7,7,0.26224753,-0.0023333333,0.33031645,0.062
7,0,0.12795568,0.064666666,0.2620237,0.035666667
7,0,0.07532257,0.041,0.23980409,0.017333332
7,0,0.0037220865,0.031,0.17972247,-0.059666667
7,0,-0.046248283,0.031,0.24576697,-0.101
7,0,0.0017673522,0.031,0.2059181,-0.09833334
7,0,0.020020247,0.031,0.21212527,-0.036333334
7,0,0.089022845,0.044333335,0.33502242,0.003
7,0,0.28058258,0.14833333,0.29485723,0.083333336
7,0,0.21884331,0.14833333,0.34805122,0.060666665
7,0,0.015270188,0.11133333,0.29103425,0.021333333
7,0,0.20886213,0.111666664,0.44302928,0.044666667
4,0,0.33037463,0.16433333,0.55340457,0.052333333
7,4,0.117188394,0.16133334,0.52279633,0.095
7,4,0.092238575,0.15633333,0.53767914,0.14633334
7,4,0.14288351,0.182,0.5696321,0.16666667
7,4,-0.050527334,0.19033334,0.6041073,0.21133333
4,0,0.33974853,0.156,0.48167828,0.10666667
4,0,0.30039603,0.16133334,0.50139594,0.13366666
7,4,0.38661596,0.44833332,0.4819236,0.437
4,4,0.47711828,0.451,0.54966885,0.46266666
4,4,0.24697992,0.44566667,0.48029968,0.448
4,4,0.4292854,0.38766667,0.6309143,0.42966667
4,4,0.43055335,0.34566668,0.6230382,0.489
7,4,0.12915117,0.356,0.5860394,0.52966666
4,4,0.2756528,0.36133334,0.6835159,0.54033333
4,4,0.20426428,0.414,0.6218639,0.57166666
7,4,0.23627678,0.45366666,0.564827,0.58966666
4,4,0.080200866,0.5323333,0.49310425,0.60333335
7,4,0.25731573,0.5506667,0.54983413,0.63233334
7,4,-0.06535125,0.548,0.5601799,0.61266667
7,4,0.18112165,0.548,0.5856453,0.552
7,4,-0.09215655,0.572,0.5865271,0.53966665
7,4,-0.10834116,0.585,0.66599,0.5836667
4,4,0.60184443,0.63766664,0.65525764,0.6533333
4,4,0.3895242,0.6533333,0.5163408,0.66933334
7,4,0.06281763,0.7266667,0.41613278,0.66933334
7,4,0.37333092,0.766,0.46288463,0.69166666
7,4,-0.139483,0.774,0.5167458,0.6956667
7,4,0.07149629,0.72433335,0.38078243,0.6703333
4,4,0.13690582,0.7136667,0.48585513,0.6533333
7,4,0.30965483,0.69533336,0.6456795,0.60866666
7,4,0.18736655,0.6903333,0.40071306,0.5283333
4,4,0.30619588,0.66933334,0.58986545,0.5136667
4,4,0.35998148,0.5876667,0.56969166,0.535
4,4,0.41558108,0.5823333,0.57706314,0.49533334
4,4,0.46701714,0.5823333,0.65158045,0.427
4,4,0.55431783,0.5823333,0.64265615,0.364
4,4,0.38354078,0.5373333,0.5821196,0.32566667
4,4,0.2531212,0.49833333,0.62027085,0.30866668
4,4,0.4242095,0.46933332,0.5999835,0.29566666
4,4,0.34268063,0.441,0.4687982,0.27433333
4,4,0.43445215,0.409,0.56955,0.264
4,4,0.5159447,0.36933333,0.6047089,0.25366667
7,7,-0.17270581,0.32733333,0.44087553,0.406
7,7,0.13634896,0.29333332,0.39334968,0.26133335
4,0,0.29880068,0.18766667,0.39444807,0.19833334
4,0,0.24722078,0.14833333,0.40806907,0.19833334
4,0,0.23871925,0.12766667,0.40044263,0.164
7,0,0.12519123,0.12766667,0.38449886,0.12366667
7,0,0.28661606,0.112,0.34330457,0.10233333
7,0,-0.04549322,0.14566667,0.38834986,0.16433333
7,0,-0.24867137,0.15366666,0.42312688,0.119666666
4,0,0.24258131,0.172,0.4522213,0.123
4,0,0.25735137,0.19033334,0.48258504,0.16033334
7,0,0.28050378,0.18766667,0.41991058,0.193
4,7,0.36154982,0.18266666,0.5231782,0.188
4,7,0.37255615,0.143,0.50293016,0.188
4,4,0.4557111,0.656,0.6135838,0.695
7,4,0.2913368,0.6663333,0.5994103,0.695
7,4,-0.04973283,0.7136667,0.6752075,0.66366667
7,4,-0.2910486,0.67966664,0.40689212,0.63233334
7,4,-0.034570448,0.68733335,0.629743,0.6533333
4,4,0.37994412,0.69266665,0.6047706,0.63233334
4,4,0.24822465,0.70033336,0.55040544,0.5876667
4,4,0.15936363,0.5876667,0.5419524,0.66366667
4,4,0.31876892,0.5796667,0.5388317,0.6716667
7,4,-0.13238111,0.55866665,0.7176455,0.64266664
7,4,0.021630675,0.514,0.69630426,0.6243333
4,4,0.37873763,0.443,0.6474172,0.6243333
4,4,0.5546036,0.422,0.6635835,0.606
4,4,0.4475459,0.422,0.62564445,0.5743333
4,4,0.01094047,0.35366666,0.60453373,0.5506667
4,4,-0.1866043,0.34566668,0.55654544,0.51633334
7,7,0.22034055,0.27166668,0.41792446,0.39033332
7,4,0.26367307,0.31433332,0.59871733,0.51133335
7,4,0.32456452,0.332,0.44053146,0.52966666
7,4,0.16959542,0.33233333,0.37417585,0.5323333
7,7,0.25417376,0.32733333,0.48350087,0.46733335
7,7,0.32346812,0.32733333,0.39151657,0.44166666
7,7,0.32433504,0.301,0.46314618,0.40533334
7,7,0.12505543,0.28266665,0.36214095,0.377
7,7,0.160411,0.264,0.5185236,0.348
7,7,0.21622515,0.217,0.3513946,0.33366665
7,7,0.13366354,0.22466667,0.40556756,0.298
7,7,0.4994209,0.195,0.5283103,0.26366666
7,7,0.3139502,0.20866667,0.37462285,0.285
4,4,0.45239446,0.251,0.59644616,0.464
4,4,0.42414558,0.251,0.5853486,0.464
4,4,0.34912127,0.28266665,0.58311564,0.51133335
4,4,0.37739256,0.314,0.5730529,0.5506667
0,5,-0.006697066,0.0,0.061036836,-0.017
