cat_pred,cat_true,val_pred,val_true,aro_pred,aro_true
0,4,0.110638246,0.372,0.2414133,0.146
0,4,0.077615544,0.371,0.23078533,0.156
0,4,0.026637346,0.372,0.1873567,0.158
0,4,-0.008689128,0.37,0.1879578,0.173
0,4,0.003527347,0.369,0.13014376,0.198
0,4,0.019838642,0.368,0.16201091,0.206
0,4,-0.083675705,0.366,0.18293832,0.21
0,4,-0.05618893,0.361,0.13592458,0.21
0,4,0.0026254505,0.358,0.19526039,0.211
7,4,-0.027447341,0.347,0.2371444,0.212
7,4,-0.10948686,0.345,0.25981045,0.212
7,4,-0.10412288,0.345,0.272606,0.211
0,4,-0.1159209,0.345,0.16350344,0.21
0,4,-0.099782035,0.347,0.14524618,0.214
0,4,-0.059049636,0.358,0.20757484,0.218
0,4,-0.049673837,0.397,0.142867,0.256
0,4,-0.17714119,0.446,0.19041479,0.306
0,4,-0.13820587,0.484,0.1716872,0.352
0,4,-0.10659157,0.515,0.17930582,0.353
0,4,-0.09460783,0.517,0.15155457,0.354
0,4,-0.24173996,0.517,0.26992682,0.348
0,4,-0.11995605,0.516,0.13773784,0.333
0,4,-0.13207449,0.518,0.06906177,0.328
0,4,-0.065634,0.522,0.09921982,0.327
0,4,-0.14515254,0.529,0.17207725,0.327
0,4,0.006716609,0.58,0.21984178,0.327
0,4,-0.023072854,0.615,0.13530192,0.331
7,4,-0.012670882,0.622,0.15117551,0.332
0,4,-0.008740433,0.621,0.09191378,0.332
0,4,0.010703228,0.621,0.10910784,0.332
0,4,-0.037760228,0.621,0.09451433,0.33
0,4,-0.035828847,0.623,0.06899452,0.328
0,4,0.023373693,0.622,0.06272644,0.317
0,4,-0.0041586906,0.623,0.115316756,0.274
0,4,0.085569836,0.622,0.08309227,0.253
0,4,-0.016320013,0.615,0.09345488,0.255
0,4,0.07216046,0.593,-0.028676014,0.257
0,4,0.005992979,0.586,0.03121133,0.255
0,4,-0.04132872,0.506,0.017449452,0.254
0,4,-0.0013850108,0.467,0.09998068,0.244
1,4,-0.22420217,0.428,0.32867473,0.246
0,4,-0.05928274,0.429,0.15328273,0.244
0,4,-0.079078004,0.417,0.11433242,0.247
0,4,-0.0186119,0.398,0.17750676,0.246
4,0,-0.14326738,0.187,0.28671956,0.09
4,0,-0.10813532,0.169,0.33816835,0.092
2,0,-0.18299825,0.17,0.36099982,0.092
2,0,-0.039647818,0.169,0.29144907,0.094
4,0,0.017549174,0.152,0.30464798,0.094
0,0,0.011674825,0.143,0.25091153,0.096
4,0,0.10516422,0.134,0.3905959,0.099
4,0,0.12687172,0.13,0.39825252,0.099
2,0,-0.16525866,0.122,0.47626898,0.1
0,0,-0.3862313,0.115,0.49619156,0.1
0,0,-0.10747406,0.112,0.47709817,0.101
7,0,-0.07488161,0.1,0.31960207,0.101
0,0,-0.07199605,0.101,0.4015147,0.101
0,0,-0.12058978,0.094,0.41955557,0.102
0,0,-0.21747777,0.094,0.3778042,0.101
0,0,-0.22163087,0.092,0.43236923,0.103
7,0,-0.20839748,0.09,0.4987754,0.103
7,0,-0.23814282,0.089,0.4843853,0.103
7,0,0.009102534,0.084,0.36177143,0.103
7,0,0.031585593,0.071,0.3802288,0.103
7,0,-0.02284756,0.061,0.42996725,0.103
7,0,-0.054432712,0.056,0.27972525,0.104
7,0,0.0772955,0.056,0.38182148,0.103
0,0,-0.07283767,0.052,0.30418992,0.104
0,0,0.02080414,0.056,0.27058205,0.103
7,0,-0.13983823,0.056,0.4084187,0.103
0,0,-0.110148534,0.055,0.2275232,0.103
7,0,-0.110387966,0.056,0.41084632,0.103
7,0,-0.10156497,0.054,0.47185668,0.104
0,0,-0.043664597,0.054,0.35410935,0.104
0,0,-0.014197329,0.052,0.28434807,0.111
7,0,-0.08633209,0.047,0.34173605,0.119
0,0,0.087902665,0.047,0.26144734,0.144
6,0,-0.118862465,0.05,0.43118313,0.164
0,0,0.07686097,0.049,0.31426883,0.176
7,0,-0.05955307,0.051,0.33972386,0.182
0,0,-0.08413616,0.051,0.26223245,0.184
7,0,-0.10355767,0.051,0.34178182,0.184
0,0,-0.09459168,0.053,0.13771388,0.184
0,0,-0.13737783,0.051,0.13919517,0.186
4,0,-0.032591894,0.053,0.24393667,0.184
0,0,-0.102072194,0.055,0.15601994,0.184
0,0,0.0076887077,0.056,0.20466068,0.185
