cat_pred,cat_true,val_pred,val_true,aro_pred,aro_true
3,4,0.16560355,0.372,0.209084,0.146
3,4,0.21206644,0.371,0.35131934,0.156
3,4,0.2070752,0.372,0.17523013,0.158
3,4,0.2733124,0.37,0.21957104,0.173
3,4,0.2842561,0.369,0.18291554,0.198
6,4,0.2275165,0.368,0.15555272,0.206
6,4,0.0597618,0.366,0.22240077,0.21
6,4,0.13941117,0.361,0.13832071,0.21
1,4,0.37922964,0.358,0.049447775,0.211
6,4,-0.0740046,0.347,0.21098636,0.212
4,4,-0.023744375,0.345,0.2647249,0.212
3,4,0.32946512,0.345,0.10149449,0.211
1,4,0.37799975,0.345,0.109009504,0.21
6,4,-0.03468707,0.347,0.14940318,0.214
1,4,0.3790548,0.358,0.045203187,0.218
1,4,0.40902987,0.397,0.05132798,0.256
6,4,0.08451055,0.446,0.2547608,0.306
1,4,0.25621802,0.484,0.07855686,0.352
1,4,0.42402253,0.515,-0.0037294477,0.353
6,4,0.21590339,0.517,0.109726705,0.354
6,4,0.196514,0.517,0.107788645,0.348
1,4,0.29977554,0.516,0.048772242,0.333
0,4,0.11120123,0.518,0.051615894,0.328
6,4,0.03918446,0.522,0.10452154,0.327
6,4,-0.23978838,0.529,0.31151503,0.327
6,4,-0.10142283,0.58,0.21352834,0.327
6,4,-0.34209746,0.615,0.34058195,0.331
6,4,-0.36237246,0.622,0.4521338,0.332
6,4,-0.39358243,0.621,0.3932153,0.332
6,4,-0.27180016,0.621,0.29167265,0.332
6,4,-0.29803884,0.621,0.36071238,0.33
6,4,-0.360686,0.623,0.3431128,0.328
6,4,-0.4171271,0.622,0.44071728,0.317
6,4,-0.30110455,0.623,0.22683509,0.274
0,4,-0.20382738,0.622,0.06702403,0.253
6,4,-0.29420197,0.615,0.2420977,0.255
6,4,-0.2577031,0.593,0.14122382,0.257
6,4,-0.2085935,0.586,0.18626092,0.255
6,4,-0.19805022,0.506,0.117151916,0.254
6,4,-0.1867712,0.467,0.13914599,0.244
6,4,-0.3176862,0.428,0.20587996,0.246
6,4,-0.0011088438,0.429,0.08263194,0.244
6,4,-0.04374172,0.417,0.124990046,0.247
6,4,-0.11380736,0.398,0.12895195,0.246
6,0,-0.10884464,0.187,0.14191969,0.09
6,0,-0.2428996,0.169,0.23997101,0.092
6,0,-0.18500246,0.17,0.23620966,0.092
6,0,-0.38295448,0.169,0.30727547,0.094
6,0,-0.31616014,0.152,0.1831337,0.094
6,0,-0.30971864,0.143,0.24801251,0.096
6,0,-0.48560518,0.134,0.5129624,0.099
6,0,-0.39511326,0.13,0.38465267,0.099
6,0,-0.2853741,0.122,0.1628722,0.1
4,0,-0.17697094,0.115,0.06866316,0.1
6,0,-0.2887093,0.112,0.22118331,0.101
6,0,-0.3119712,0.1,0.17430568,0.101
6,0,-0.17481823,0.101,0.16792934,0.101
6,0,-0.27659827,0.094,0.12953767,0.102
6,0,-0.34997082,0.094,0.28363615,0.101
6,0,-0.17620538,0.092,0.14888671,0.103
6,0,-0.12543726,0.09,0.23519427,0.103
6,0,-0.27591142,0.089,0.23745747,0.103
6,0,-0.24264996,0.084,0.17282844,0.103
4,0,-0.1805907,0.071,0.19125451,0.103
2,0,-0.30137888,0.061,0.1767086,0.103
6,0,-0.2690752,0.056,0.19486234,0.104
6,0,-0.2896321,0.056,0.2393593,0.103
6,0,-0.22269581,0.052,0.17098938,0.104
6,0,-0.26538733,0.056,0.15920955,0.103
6,0,-0.3359607,0.056,0.19064602,0.103
6,0,-0.3178388,0.055,0.22491093,0.103
6,0,-0.28870153,0.056,0.25748605,0.103
6,0,-0.24161838,0.054,0.19833118,0.104
6,0,-0.33135918,0.054,0.2902594,0.104
6,0,-0.39398313,0.052,0.3134165,0.111
6,0,-0.2957831,0.047,0.29634586,0.119
6,0,-0.3329746,0.047,0.2594244,0.144
6,0,-0.37222013,0.05,0.27449706,0.164
6,0,-0.22955035,0.049,0.19842404,0.176
6,0,-0.15588997,0.051,0.17315426,0.182
6,0,-0.36394268,0.051,0.3137665,0.184
6,0,-0.1994485,0.051,0.21693218,0.184
6,0,-0.1187488,0.053,0.1417714,0.184
6,0,-0.06189619,0.051,0.11336756,0.186
6,0,-0.2801059,0.053,0.24553484,0.184
6,0,-0.16760793,0.055,0.21396993,0.184
6,0,-0.046769023,0.056,0.15516424,0.185
6,0,0.23086369,0.062,0.096334144,0.186
6,0,-0.17608207,0.064,0.22220054,0.186
6,0,-0.1843055,0.066,0.16447291,0.186
6,0,-0.2349911,0.066,0.28438485,0.184
6,0,-0.22580719,0.067,0.21158612,0.184
6,0,-0.10138673,0.066,0.20935176,0.184
6,0,-0.25021648,0.066,0.26211444,0.183
6,0,-0.2670579,0.066,0.22726607,0.183
6,0,-0.13129357,0.066,0.15471834,0.184
6,0,-0.22520134,0.066,0.24719825,0.183
6,0,-0.21219812,0.066,0.22200166,0.183
6,0,-0.37072352,0.065,0.33590305,0.183
6,0,-0.32820818,0.066,0.32435495,0.182
6,0,-0.395927,0.064,0.418279,0.182
6,0,-0.3313019,0.063,0.3891908,0.181
6,0,-0.27206525,0.063,0.49921942,0.18
6,0,-0.20220025,0.062,0.27164066,0.181
6,0,-0.24110304,0.062,0.4099215,0.18
3,0,-0.15306062,0.063,0.32659608,0.18
3,0,-0.13936181,0.063,0.34454584,0.18
3,0,-0.18825755,0.064,0.38510492,0.181
3,0,-0.095787875,0.064,0.5106865,0.181
3,0,-0.13902555,0.065,0.30163813,0.182
3,0,-0.14728631,0.066,0.14816047,0.182
3,0,-0.14115854,0.071,0.26906323,0.184
3,0,-0.20808119,0.076,0.31863108,0.183
3,0,-0.13527961,0.076,0.20226488,0.184
3,0,-0.18255423,0.121,0.19854125,0.184
0,0,-0.20951045,0.137,0.057826377,0.184
4,0,-0.12988093,0.153,0.2611931,0.185
3,0,-0.16218238,0.158,0.1511688,0.186
3,0,-0.20291902,0.155,0.0574089,0.187
3,0,-0.23251581,0.154,0.09965618,0.188
3,0,-0.14549561,0.154,0.18875286,0.196
0,0,-0.23594156,0.149,0.049038813,0.189
6,0,-0.2650996,0.146,0.13114645,0.169
0,0,-0.24737605,0.144,0.052810747,0.152
0,0,-0.28628975,0.14,-0.014674723,0.131
6,0,-0.32039848,0.141,0.09241421,0.133
0,0,-0.2920063,0.141,0.05145055,0.136
0,0,-0.26932937,0.139,0.00824777,0.137
0,0,-0.23257181,0.137,0.048804633,0.137
6,0,-0.26504278,0.137,0.16876648,0.134
6,0,0.008229202,0.137,0.05380584,0.13
6,0,0.026332099,0.138,0.018739972,0.117
6,0,0.12480221,0.133,0.008166004,0.116
6,0,0.2839658,0.131,0.0398257,0.107
1,4,0.4181586,0.136,-0.005910568,0.058
1,4,0.40665042,0.136,-0.010296486,0.058
1,4,0.4117886,0.136,0.0057496987,0.06
1,4,0.4678764,0.137,0.003972437,0.065
1,4,0.49059153,0.137,-0.015614096,0.071
1,4,0.4926859,0.135,0.01083383,0.073
1,4,0.4160016,0.125,-0.009924352,0.079
1,4,0.47878146,0.121,0.0109236725,0.086
1,4,0.3157662,0.115,0.04248543,0.113
1,4,0.47407278,0.116,0.03509409,0.237
1,4,0.47966808,0.116,0.05850005,0.329
1,4,0.3301791,0.115,0.055879105,0.351
1,4,0.4178679,0.112,0.099601924,0.369
1,4,0.3506601,0.135,0.034999087,0.392
1,4,0.37292984,0.142,0.036356606,0.414
1,4,0.28012747,0.231,0.0454404,0.497
6,4,0.16981319,0.293,0.04445849,0.576
